10.0
SigS , SigT , Q
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.8  , 1.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
0.5  , 3.0  , 0.0
