Running 1-D transport! 
Epsilon: 8.521792366E-01 , Rho: 9.568596001E+00
Epsilon: 6.666591321E-01 , Rho: 4.994649789E-01
Epsilon: 2.857150054E-01 , Rho: 4.994892758E-01
Epsilon: 1.336179608E-01 , Rho: 4.995007327E-01
Epsilon: 6.512092132E-02 , Rho: 4.995078721E-01
Epsilon: 3.229586735E-02 , Rho: 4.995130807E-01
Epsilon: 1.612846187E-02 , Rho: 4.995172298E-01
Epsilon: 8.076398339E-03 , Rho: 4.995207054E-01
Epsilon: 4.047996555E-03 , Rho: 4.995237062E-01
Epsilon: 2.029179602E-03 , Rho: 4.995263479E-01
Epsilon: 1.017011645E-03 , Rho: 4.995287046E-01
Epsilon: 5.095859383E-04 , Rho: 4.995308275E-01
Epsilon: 2.552676695E-04 , Rho: 4.995327539E-01
Epsilon: 1.278458042E-04 , Rho: 4.995345122E-01
Epsilon: 6.402683353E-05 , Rho: 4.995361250E-01
Epsilon: 3.206030873E-05 , Rho: 4.995376100E-01
Epsilon: 1.605158277E-05 , Rho: 4.995389821E-01
Epsilon: 8.035711350E-06 , Rho: 4.995402536E-01
Epsilon: 4.022504016E-06 , Rho: 4.995414350E-01
Epsilon: 2.013453680E-06 , Rho: 4.995425350E-01
Epsilon: 1.007779243E-06 , Rho: 4.995435614E-01
Epsilon: 5.043964933E-07 , Rho: 4.995445207E-01
Epsilon: 2.524438709E-07 , Rho: 4.995454191E-01
Epsilon: 1.263415418E-07 , Rho: 4.995462612E-01
Epsilon: 6.322923465E-08 , Rho: 4.995470521E-01
Epsilon: 3.164327841E-08 , Rho: 4.995477949E-01
Epsilon: 1.583572177E-08 , Rho: 4.995484957E-01
Epsilon: 7.924791892E-09 , Rho: 4.995491562E-01
Epsilon: 3.965811250E-09 , Rho: 4.995497729E-01
Epsilon: 1.984590512E-09 , Rho: 4.995503636E-01
Epsilon: 9.931267237E-10 , Rho: 4.995509226E-01

 x , Scalar Flux: 
0.0000 , 0.2460725
0.2000 , 0.1833984
0.4000 , 0.1503387
0.6000 , 0.1278179
0.8000 , 0.1126078
1.0000 , 0.1026057
1.2000 , 0.0964241
1.4000 , 0.0931101
1.6000 , 0.0919868
1.8000 , 0.0925596
2.0000 , 0.0944588
2.2000 , 0.0974037
2.4000 , 0.1011779
2.6000 , 0.1056129
2.8000 , 0.1105768
3.0000 , 0.1159651
3.2000 , 0.1216950
3.4000 , 0.1277006
3.6000 , 0.1339289
3.8000 , 0.1403377
4.0000 , 0.1468928
4.2000 , 0.1535668
4.4000 , 0.1603374
4.6000 , 0.1671866
4.8000 , 0.1740998
5.0000 , 0.1810653
5.2000 , 0.1880734
5.4000 , 0.1951164
5.6000 , 0.2021877
5.8000 , 0.2092823
6.0000 , 0.2163960
6.2000 , 0.2235252
6.4000 , 0.2306671
6.6000 , 0.2378195
6.8000 , 0.2449805
7.0000 , 0.2521484
7.2000 , 0.2593222
7.4000 , 0.2665007
7.6000 , 0.2736830
7.8000 , 0.2808686
8.0000 , 0.2880569
8.2000 , 0.2952473
8.4000 , 0.3024395
8.6000 , 0.3096333
8.8000 , 0.3168283
9.0000 , 0.3240244
9.2000 , 0.3312214
9.4000 , 0.3384193
9.6000 , 0.3456179
9.8000 , 0.3528172
10.0000 , 0.3600171
10.2000 , 0.3672177
10.4000 , 0.3744190
10.6000 , 0.3816210
10.8000 , 0.3888238
11.0000 , 0.3960275
11.2000 , 0.4032323
11.4000 , 0.4104384
11.6000 , 0.4176459
11.8000 , 0.4248553
12.0000 , 0.4320668
12.2000 , 0.4392809
12.4000 , 0.4464982
12.6000 , 0.4537194
12.8000 , 0.4609454
13.0000 , 0.4681771
13.2000 , 0.4754160
13.4000 , 0.4826635
13.6000 , 0.4899216
13.8000 , 0.4971929
14.0000 , 0.5044801
14.2000 , 0.5117871
14.4000 , 0.5191184
14.6000 , 0.5264796
14.8000 , 0.5338778
15.0000 , 0.5413217
15.2000 , 0.5488224
15.4000 , 0.5563935
15.6000 , 0.5640523
15.8000 , 0.5718208
16.0000 , 0.5797269
16.2000 , 0.5878065
16.4000 , 0.5961061
16.6000 , 0.6046868
16.8000 , 0.6136306
17.0000 , 0.6230491
17.2000 , 0.6330995
17.4000 , 0.6440097
17.6000 , 0.6561245
17.8000 , 0.6699847
18.0000 , 0.6889884
18.2000 , 0.7120656
18.4000 , 0.7308236
18.6000 , 0.7441919
18.8000 , 0.7555686
19.0000 , 0.7654934
19.2000 , 0.7743100
19.4000 , 0.7822453
19.6000 , 0.7894543
19.8000 , 0.7960465
20.0000 , 0.8021010
20.2000 , 0.8076753
20.4000 , 0.8128114
20.6000 , 0.8175397
20.8000 , 0.8218809
21.0000 , 0.8258483
21.2000 , 0.8294483
21.4000 , 0.8326809
21.6000 , 0.8355397
21.8000 , 0.8380115
22.0000 , 0.8400753
22.2000 , 0.8417011
22.4000 , 0.8428466
22.6000 , 0.8434543
22.8000 , 0.8434453
23.0000 , 0.8427102
23.2000 , 0.8410935
23.4000 , 0.8383687
23.6000 , 0.8341921
23.8000 , 0.8280238
24.0000 , 0.8164659
24.2000 , 0.8005887
24.4000 , 0.7887851
24.6000 , 0.7821250
24.8000 , 0.7772103
25.0000 , 0.7735002
25.2000 , 0.7706500
25.4000 , 0.7684317
25.6000 , 0.7666881
25.8000 , 0.7653077
26.0000 , 0.7642084
26.2000 , 0.7633293
26.4000 , 0.7626236
26.6000 , 0.7620557
26.8000 , 0.7615976
27.0000 , 0.7612274
27.2000 , 0.7609279
27.4000 , 0.7606853
27.6000 , 0.7604887
27.8000 , 0.7603294
28.0000 , 0.7602006
28.2000 , 0.7600965
28.4000 , 0.7600128
28.6000 , 0.7599459
28.8000 , 0.7598931
29.0000 , 0.7598520
29.2000 , 0.7598210
29.4000 , 0.7597988
29.6000 , 0.7597845
29.8000 , 0.7597774
