Running 1-D transport! 
Epsilon: 9.999979962E-01 , Rho: 8.666637618E+08
Epsilon: 3.727015477E+00 , Rho: 1.455812730E+00
Epsilon: 5.244140562E-01 , Rho: 1.096245288E+00
Epsilon: 1.369478959E-01 , Rho: 1.026117962E+00
Epsilon: 3.941618063E-02 , Rho: 1.007504295E+00
Epsilon: 1.155382238E-02 , Rho: 1.002189779E+00
Epsilon: 3.395643694E-03 , Rho: 1.000641722E+00
Epsilon: 9.976417186E-04 , Rho: 1.000188264E+00
Epsilon: 2.929253634E-04 , Rho: 1.000055242E+00
Epsilon: 8.597010221E-05 , Rho: 1.000016209E+00
Epsilon: 2.522464116E-05 , Rho: 1.000004755E+00
Epsilon: 7.400149434E-06 , Rho: 1.000001395E+00
Epsilon: 2.170814137E-06 , Rho: 1.000000409E+00
Epsilon: 6.367762575E-07 , Rho: 1.000000119E+00
Epsilon: 1.867846953E-07 , Rho: 1.000000035E+00
Epsilon: 5.478860057E-08 , Rho: 1.000000010E+00
Epsilon: 1.607074677E-08 , Rho: 1.000000002E+00
Epsilon: 4.713890349E-09 , Rho: 1.000000000E+00

 x , Scalar Flux: 
0.0000 , 0.5158030
0.0833 , -0.2858803
0.1667 , 0.0547766
0.2500 , -0.0443302
0.3333 , 0.0228340
0.4167 , 0.0103777
0.5000 , 0.4712337
0.5833 , 0.6322365
0.6667 , 0.6730163
0.7500 , 0.0591404
0.8333 , -0.0423893
0.9167 , 0.0305959
